CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Indonesia,IDN,"International tourism, expenditures (current US$)",2172000000,2399000000,2411000000,2102000000,2353000000,3197000000,3406000000,5042000000,4427000000,4569000000,4740000000,5458000000,6578000000,8801000000,6908000000,8432000000,8653000000,9055000000,10280000000,10263000000
India,IND,"International tourism, expenditures (current US$)",996000000,913000000,1342000000,1713000000,2010000000,3686000000,4367000000,4350000000,4385000000,5783000000,8277000000,8738000000,10690000000,12083000000,9310000000,10490000000,13699000000,14107000000,13840000000,17493000000
Ireland,IRL,"International tourism, expenditures (current US$)",2034000000,2198000000,2210000000,3015000000,2712000000,2626000000,2956000000,3835000000,4832000000,5291000000,6186000000,6978000000,8785000000,10539000000,7934000000,7178000000,6837000000,6001000000,6222000000,6173000000
"Iran, Islamic Rep.",IRN,"International tourism, expenditures (current US$)",247000000,274000000,396000000,155000000,638000000,671000000,714000000,3990000000,4120000000,4402000000,4112000000,5066000000,7335000000,8270000000,8503000000,10570000000,10558000000,7517000000,8297000000,
Iraq,IRQ,"International tourism, expenditures (current US$)",117000000,70000000,131000000,14000000,14000000,9000000,31000000,26000000,,,627000000,526000000,705000000,813000000,1221000000,1675000000,1879000000,2363000000,,
Iceland,ISL,"International tourism, expenditures (current US$)",282000000,312000000,327000000,399000000,440000000,471000000,372000000,373000000,524000000,699000000,991000000,1084000000,1336000000,1103000000,534000000,599000000,740000000,780000000,850000000,972000000
Israel,ISR,"International tourism, expenditures (current US$)",2626000000,2849000000,2952000000,3233000000,3411000000,3733000000,3887000000,3322000000,3341000000,3663000000,3780000000,4085000000,4669000000,4693000000,4241000000,4725000000,4937000000,4851000000,5176000000,5583000000
Italy,ITA,"International tourism, expenditures (current US$)",17219000000,18619000000,19666000000,20521000000,19590000000,18169000000,16997000000,19636000000,23731000000,24064000000,26774000000,27437000000,32754000000,30926000000,27947000000,26908000000,28727000000,26249000000,26950000000,28857000000
Jamaica,JAM,"International tourism, expenditures (current US$)",173000000,181000000,205000000,223000000,256000000,238000000,227000000,274000000,269000000,318000000,290000000,315000000,340000000,312000000,259000000,235000000,213000000,414000000,388000000,454000000
Jordan,JOR,"International tourism, expenditures (current US$)",719000000,630000000,635000000,642000000,536000000,387000000,420000000,504000000,503000000,585000000,653000000,956000000,1024000000,1140000000,1202000000,1736000000,1280000000,1257000000,1206000000,1251000000
Japan,JPN,"International tourism, expenditures (current US$)",46966000000,46800000000,41381000000,35334000000,41213000000,42643000000,35526000000,34977000000,36505000000,48175000000,48096000000,37655000000,37258000000,38971000000,34787000000,39306000000,39760000000,40967000000,32244000000,28608000000
Kazakhstan,KAZ,"International tourism, expenditures (current US$)",296000000,364000000,494000000,549000000,455000000,483000000,761000000,863000000,783000000,997000000,940000000,1060000000,1396000000,1361000000,1319000000,1489000000,1831000000,2022000000,1904000000,1919000000
Kenya,KEN,"International tourism, expenditures (current US$)",230000000,205000000,152000000,155000000,182000000,156000000,183000000,126000000,127000000,108000000,124000000,178000000,265000000,266000000,227000000,212000000,197000000,174000000,233000000,206000000
Kyrgyz Republic,KGZ,"International tourism, expenditures (current US$)",7000000,7000000,11000000,25000000,27000000,28000000,21000000,27000000,35000000,73000000,94000000,142000000,215000000,450000000,273000000,275000000,392000000,529000000,505000000,568000000
Cambodia,KHM,"International tourism, expenditures (current US$)",22000000,31000000,28000000,35000000,41000000,52000000,59000000,64000000,60000000,80000000,137000000,176000000,194000000,180000000,163000000,269000000,344000000,406000000,469000000,527000000
St. Kitts and Nevis,KNA,"International tourism, expenditures (current US$)",5000000,5000000,6000000,6000000,7000000,9000000,8000000,8000000,8000000,10000000,11000000,14000000,12000000,15000000,11000000,13000000,14000000,15000000,16000000,16000000
"Korea, Rep.",KOR,"International tourism, expenditures (current US$)",6947000000,8291000000,8039000000,4027000000,5555000000,7945000000,8349000000,11440000000,11063000000,13507000000,16924000000,20947000000,24431000000,21447000000,16355000000,20788000000,22195000000,22934000000,24459000000,25907000000
Kuwait,KWT,"International tourism, expenditures (current US$)",2514000000,2779000000,2684000000,2823000000,2574000000,2852000000,3207000000,3412000000,3750000000,4147000000,4997000000,6074000000,7267000000,8341000000,6799000000,7106000000,8879000000,10073000000,10567000000,12280000000
Lao PDR,LAO,"International tourism, expenditures (current US$)",34000000,28000000,27000000,29000000,17000000,8000000,4100000,4300000,5000000,8000000,10000000,15000000,14000000,51000000,91000000,215000000,248000000,241000000,401000000,
Libya,LBY,"International tourism, expenditures (current US$)",98000000,85000000,286000000,423000000,574000000,495000000,572000000,654000000,689000000,789000000,920000000,915000000,1010000000,1339000000,1683000000,2184000000,,2654000000,2598000000,
